exhibition_id,exhibition_title,institution,city,country,category,importance,title,start_date,end_date,artists,curators,status,image_url,source_url,exhibitions_url,website,crawler,scraped_at,updated_at,fetch_status,error_detail,pulse_label,score,reason,human_review_status
savvy-contemporary-events-unknown,Events,Savvy Contemporary,Berlin,Germany,non_profit,national,Events,,,[],[],current,,https://savvy-contemporary.com/en/projects/,https://savvy-contemporary.com/en/projects/,https://savvy-contemporary.com,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.622,"Heuristic pulse: trust_level=national, source_type=non_profit, approx_words=55.",pending
berlinische-galerie-marcbrandenburg-unknown,MarcBrandenburg,Berlinische Galerie,Berlin,Germany,museum,national,MarcBrandenburg,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.592,"Heuristic pulse: trust_level=national, source_type=museum, approx_words=640.",pending
berlinische-galerie-mila-zhluktenko-daniel-asadi-faezi-unknown,Mila Zhluktenko& Daniel Asadi Faezi,Berlinische Galerie,Berlin,Germany,museum,national,Mila Zhluktenko& Daniel Asadi Faezi,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.592,"Heuristic pulse: trust_level=national, source_type=museum, approx_words=644.",pending
berlinische-galerie-emilio-vedova-unknown,Emilio Vedova,Berlinische Galerie,Berlin,Germany,museum,national,Emilio Vedova,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.592,"Heuristic pulse: trust_level=national, source_type=museum, approx_words=641.",pending
berlinische-galerie-art-in-berlin-unknown,Art in Berlin,Berlinische Galerie,Berlin,Germany,museum,national,Art in Berlin,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.592,"Heuristic pulse: trust_level=national, source_type=museum, approx_words=642.",pending
berlinische-galerie-207-m-unknown,207 m,Berlinische Galerie,Berlin,Germany,museum,national,207 m,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.592,"Heuristic pulse: trust_level=national, source_type=museum, approx_words=641.",pending
berlinische-galerie-current-unknown,Current,Berlinische Galerie,Berlin,Germany,museum,national,Current,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.592,"Heuristic pulse: trust_level=national, source_type=museum, approx_words=640.",pending
berlinische-galerie-preview-unknown,Preview,Berlinische Galerie,Berlin,Germany,museum,national,Preview,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.592,"Heuristic pulse: trust_level=national, source_type=museum, approx_words=640.",pending
berlinische-galerie-archive-unknown,Archive,Berlinische Galerie,Berlin,Germany,museum,national,Archive,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.592,"Heuristic pulse: trust_level=national, source_type=museum, approx_words=640.",pending
berlinische-galerie-calendar-unknown,Calendar,Berlinische Galerie,Berlin,Germany,museum,national,Calendar,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de/en/exhibitions/,https://berlinischegalerie.de,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.592,"Heuristic pulse: trust_level=national, source_type=museum, approx_words=640.",pending
