id,name,city,country,address,category,importance,website,exhibitions_url,title,start_date,end_date,artists,curators,status,image_url,source_url,crawler,scraped_at,updated_at
neue-nationalgalerie-plan-your-visit-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Plan Your Visit,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-preview-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Preview,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
savvy-contemporary-events-unknown,Savvy Contemporary,Berlin,Germany,"Plantagenstraße 31, 13347 Berlin",non_profit,national,https://savvy-contemporary.com,https://savvy-contemporary.com/en/projects/,Events,,,[],[],current,,https://savvy-contemporary.com/en/projects/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
m-plus-andy-warhol-screen-tests-sleep-unknown,M+,Hong Kong,Hong Kong,"38 Museum Drive, West Kowloon Cultural District, Hong Kong",museum,global,https://www.mplus.org.hk,https://www.mplus.org.hk/en/exhibitions/,"Andy Warhol: Screen Tests, Sleep",,,[],[],current,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mplus.org.hk/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
m-plus-conserving-neon-culture-unknown,M+,Hong Kong,Hong Kong,"38 Museum Drive, West Kowloon Cultural District, Hong Kong",museum,global,https://www.mplus.org.hk,https://www.mplus.org.hk/en/exhibitions/,Conserving Neon Culture,,,[],[],current,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mplus.org.hk/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
m-plus-danh-vo-in-situ-akari-by-noguchi-unknown,M+,Hong Kong,Hong Kong,"38 Museum Drive, West Kowloon Cultural District, Hong Kong",museum,global,https://www.mplus.org.hk,https://www.mplus.org.hk/en/exhibitions/,Danh Vo in Situ: Akari by Noguchi,,,[],[],current,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mplus.org.hk/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
m-plus-design-ah-experience-the-wonder-of-everyday-design-unknown,M+,Hong Kong,Hong Kong,"38 Museum Drive, West Kowloon Cultural District, Hong Kong",museum,global,https://www.mplus.org.hk,https://www.mplus.org.hk/en/exhibitions/,Design Ah! Experience the Wonder of Everyday Design,,,[],[],current,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mplus.org.hk/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
m-plus-dial-a-poem-hong-kong-unknown,M+,Hong Kong,Hong Kong,"38 Museum Drive, West Kowloon Cultural District, Hong Kong",museum,global,https://www.mplus.org.hk,https://www.mplus.org.hk/en/exhibitions/,Dial-A-Poem Hong Kong,,,[],[],current,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mplus.org.hk/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
m-plus-heri-dono-fermentation-of-the-mind-unknown,M+,Hong Kong,Hong Kong,"38 Museum Drive, West Kowloon Cultural District, Hong Kong",museum,global,https://www.mplus.org.hk,https://www.mplus.org.hk/en/exhibitions/,Heri Dono: Fermentation of the Mind,,,[],[],current,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mplus.org.hk/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
m-plus-janet-cardiff-the-forty-part-motet-unknown,M+,Hong Kong,Hong Kong,"38 Museum Drive, West Kowloon Cultural District, Hong Kong",museum,global,https://www.mplus.org.hk,https://www.mplus.org.hk/en/exhibitions/,Janet Cardiff: The Forty Part Motet,,,[],[],current,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.mplus.org.hk/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
